id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,license,number_of_reviews_ltm
883513655221345479,Inn at the Opera San Francisco 1BR sleeps 4,77606360,Christine,Downtown/Civic Center,37.77768000,-122.42149000,private room,0.00,2,0,,,6,0,Exempt,0
883986383869795540,Hayes Penthouse 2,154354102,Alexis,Western Addition,37.77507810,-122.43055393,private room,0.00,4,0,,,2,0,2022-012806STR,0
44278394,Beautiful San Francisco Room,203065170,Serhan,Noe Valley,37.74908000,-122.43267000,private room,0.00,30,0,,,18,0,,0
44323000,Tall Loft Condo by  trendy Valencia corridor,988375,Jennifer,South of Market,37.77215000,-122.42167000,entire home/apt,0.00,30,4,2023-03-31,0.12,18,0,,0
44631455,"League Of Its Own, Smart Home, 360 Roof Top Views",988375,Jennifer,North Beach,37.80464000,-122.40956000,entire home/apt,0.00,30,0,,,18,0,,0
44758668,Open Mission District Studio in SF!,4430421,Landmark,Mission,37.76572000,-122.41728000,entire home/apt,0.00,30,0,,,140,117,,0
46640666,Bright 1 Bedroom Pied-a-terre in Bernal Heights,4869538,Deb,Bernal Heights,37.74616000,-122.41061000,entire home/apt,0.00,90,0,,,1,0,,0
48942812,Family friendly flat in San Francisco,21814733,Emmy,Inner Richmond,37.77631000,-122.46422000,entire home/apt,0.00,30,0,,,1,0,,0
52420670,UNION SQUARE - NEW HOTEL SOFT OPENING SPECIAL,423319141,Jordan,Downtown/Civic Center,37.78796000,-122.40882000,private room,0.00,1,1,2021-11-01,0.03,3,0,1083521,0
53047143,Beautiful SF Room with Bay Windows Downtown Views,203065170,Serhan,Noe Valley,37.74870000,-122.43295000,private room,0.00,30,1,2023-07-01,0.07,18,0,,0
53299611,Charming SF Room with Little Patio,203065170,Serhan,Noe Valley,37.74866000,-122.43303000,private room,0.00,30,1,2022-05-31,0.04,18,0,,0
559735385697431438,Perfect Union Square Location - 2 Double Beds,70722023,Michael,Downtown/Civic Center,37.78706000,-122.40925000,entire home/apt,0.00,1,9,2024-05-09,0.30,74,0,0311287,2
587833010154469060,Chic North Beach Jr. 1 Bedroom,46376563,Elizabeth,North Beach,37.80362000,-122.40954000,entire home/apt,0.00,70,3,2023-08-19,0.10,1,0,STR-0007157,0
886528458352482168,Inn at the Opera San Francisco 1BR sleeps 2,77606360,Christine,Downtown/Civic Center,37.77955646,-122.42152833,private room,0.00,2,0,,,6,0,Exempt,0
887885890330424325,One Bedroom Front Unit,495900269,Powell Place,Chinatown,37.79217835,-122.40813831,entire home/apt,0.00,1,9,2024-05-19,1.02,24,0,Exempt,9
688328569588645214,Lovely San Francisco Apartment with a city View,17313954,Xu,Western Addition,37.77130000,-122.43519000,entire home/apt,0.00,45,1,2022-12-30,0.05,1,0,,0
887892172266757539,One Bedroom Back Unit,495900269,Powell Place,Chinatown,37.79270385,-122.40831445,entire home/apt,0.00,1,1,2024-08-18,1.00,24,0,Exempt,1
702114541330773408,Luxury San Francisco Apartment Hotel Ocean View,474761537,Wenseng,Financial District,37.79112000,-122.39407000,private room,0.00,30,0,,,2,364,,0
721321511502812975,"Modern place, Fun neighborhood in The Mission",71115854,Mitch,Mission,37.75492166,-122.42031980,entire home/apt,0.00,30,2,2023-10-31,0.16,1,65,,1
742277654241557284,Breathtaking Views in Central SF w/parking,4173587,Ilya,Noe Valley,37.75480000,-122.43777000,entire home/apt,0.00,3,9,2024-08-11,0.42,1,0,2022-010331STR,5
758713018977641792,Lovely one bedroom Apt. with scenic view.,36395219,Patrick,Twin Peaks,37.75167000,-122.44602000,entire home/apt,0.00,30,8,2024-07-31,0.37,1,0,1132250,4
764566663536454972,Monthly Luxury Condo In City Center,236978,Tami,Mission,37.76373000,-122.41752000,entire home/apt,0.00,30,0,,,2,307,,0
855887704266514492,Perfect Nob Hill Private Ensuite w/ Rooftop Views!,181205324,Plushy,Nob Hill,37.79678304,-122.41245630,private room,0.00,30,1,2024-04-07,0.20,5,0,,1
934344723059397092,Private room in SOMA Square Apt,50757586,Stacy,South of Market,37.78429526,-122.39647615,private room,0.00,30,0,,,1,0,,0
894850855312323308,Family Central close to GG Park,515420324,Deeya,Outer Sunset,37.76302289,-122.48019828,entire home/apt,0.00,2,20,2024-08-16,1.33,2,0,STR-0006624,12
895543847782726053,"Green Oasis. Restaurants, Hiking, Central Location",50764192,Miles,Glen Park,37.73744996,-122.43406700,entire home/apt,0.00,30,1,2023-08-12,0.08,1,0,,0
895686730194170896,"Quiet, Cozy San Francisco Home",104620340,Jon,Outer Sunset,37.75861323,-122.48034518,entire home/apt,0.00,4,13,2024-08-02,0.92,1,16,STR-0006541,8
8652090,Modern SoMa 1bdrm,5657993,Teresa,South of Market,37.77879000,-122.40069000,entire home/apt,135.00,90,7,2017-02-18,0.07,1,358,,0
1078440942412260049,Luxurious and spacious room,81597039,Marie,Lakeshore,37.73334000,-122.47649000,private room,0.00,30,0,,,4,0,,0
897892000962147732,NEW! A+ Home | Sunny & Modern | Garage | Huge Yard,509346058,Malcolm,Bayview,37.72979200,-122.40150030,entire home/apt,0.00,30,4,2024-05-16,0.30,2,0,,3
898465936844785750,Club Wyndham 2 Bdrm Villa - Fishermans Wharf,514017852,Jesse,Russian Hill,37.80651000,-122.41944000,entire home/apt,0.00,2,1,2023-08-21,0.08,6,0,Exempt,0
899262823975765185,Sunset Serenity,2985014,Ann,Outer Sunset,37.75672561,-122.47769601,entire home/apt,0.00,30,0,,,1,358,,0
