"overall_parent_ngb","overall_year","financial_year","membership_bucket_def","revenue_bucket_def","staff_bucket_def","ceo_salary","membership_bucket","membership_size","revenue_bucket","staff_bucket","staff_size","total_expenses","total_revenue"
"US Squash",2019,"Jul 1 - Jun 30","10,000-30,000","$10M-$20M","30-100",224200,3,17300,2,2,35,6808671,6808671
"USA Boxing",2018,"Jan 1 - Dec 31","30,000-100,000","$2M-$10M","10-30",128171,2,44382,3,3,22,6360251,6360251
"USA Wrestling",2019,"Sept 1 - Aug 31","> 100,000","$10M-$20M","30-100",385130,1,235000,2,2,54,15617662,15617662
"USA Swimming",2018,"Jan 1 - Dec 31","> 100,000","> $20M","> 100",721101,1,400000,1,1,106,41156083,41156083
"USA Curling",2019,"Jul 1 - Jun 30","10,000-30,000","$2M-$10M","10-30",135029,3,23000,3,3,11,2911218,2911218
"USA Rugby",2018,"Jan 1 - Dec 31","> 100,000","> $20M","30-100",100391,1,123000,1,2,62,31612359,31612359
"USA Table Tennis",2019,"Jan 1 - Dec 31","< 10,000","$2M-$10M","10-30",82543,4,7388,3,3,11,2636296,2636296
"USA Swimming",2019,"Jan 1 - Dec 31","> 100,000","> $20M","> 100",792207,1,400000,1,1,103,44315915,44315915
"US Sailing",2018,"Jan 1 - Dec 31","30,000-100,000","$10M-$20M","30-100",283513,2,46000,2,2,68,11820292,11820292
"USA Rugby",2019,"Jan 1 - Dec 31","> 100,000","> $20M","30-100",216265,1,123000,1,2,62,0,0
"USA Softball",2018,"Jan 1 - Dec 31","> 100,000","$10M-$20M","> 100",159919,1,2200000,2,1,147,12153733,12153733
"USA Water Skiing",2019,"Jan 1 - Dec 31","10,000-30,000","< $2M","10-30",136750,3,15000,4,3,11,1927860,1927860
"USA Baseball",2019,"Nov 1 - Oct 31","n/a","$10M-$20M","> 100",309128,0,0,2,1,148,18499194,18499194
"USA National Karate-Do Federation",2019,"Jan 1 - Dec 31","< 10,000","< $2M","< 10",130000,4,3000,4,4,5,1448296,1448296
"USA Diving",2019,"Jan 1 - Dec 31","< 10,000","$2M-$10M","10-30",98600,4,9700,3,3,11,3031964,3031964
"USA Volleyball",2018,"Jan 1 - Dec 31","> 100,000","> $20M","> 100",488804,1,360000,1,1,99,29617603,29617603
"US Rowing",2019,"Jan 1 - Dec 31","30,000-100,000","$10M-$20M","30-100",211150,2,80000,2,2,51,12655881,12655881
"USA Archery",2019,"Jan 1 - Dec 31","10,000-30,000","$2M-$10M","10-30",234678,3,21000,3,3,20,4976231,4976231
"U.S. Paralympics Swimming",2018,"n/a","n/a","n/a","n/a",0,0,0,0,0,0,0,0
"USA Roller Sports",2018,"Jan 1 - Dec 31","< 10,000","< $2M","10-30",43820,4,7000,4,3,8,1524976,1524976
"USA Track & Field",2018,"Jan 1 - Dec 31","> 100,000","> $20M","> 100",4294650,1,131137,1,1,105,33708787,33708787
"US National Karate-Do Federation",2018,"Jan 1 - Dec 31","< 10,000","< $2M","< 10",107500,4,3000,4,4,5,1286706,1286706
"USA Pentathlon",2018,"Jan 1 - Dec 31","< 10,000","< $2M","n/a",0,4,1000,4,0,0,466461,466461
"USA Boxing",2019,"Jan 1 - Dec 31","30,000-100,000","$2M-$10M","10-30",127903,2,44647,3,3,22,5921876,5921876
"USA Artistic Swimming",2019,"Jan 1 - Dec 31","< 10,000","< $2M","< 10",0,4,6000,4,4,0,0,0
"US Speed Skating",2019,"Jun 1 - May 31","< 10,000","$2M-$10M","10-30",231673,4,2300,3,3,20,4310661,4310661
"USA Shooting",2018,"Jan 1 - Dec 31","< 10,000","$2M-$10M","30-100",248819,4,5436,3,2,35,8420832,8420832
"US Rowing",2018,"Jan 1 - Dec 31","30,000-100,000","$10M-$20M","30-100",204730,2,80000,2,2,48,11521079,11521079
"USA Volleyball",2019,"Jan 1 - Dec 31","> 100,000","> $20M","> 100",488951,1,360000,1,1,101,36750334,36750334
"US Tennis Association",2018,"Jan 1 - Dec 31","> 100,000","> $20M","> 100",1424872,1,654627,1,1,875,461016000,461016000
"US Equestrian Federation",2019,"Dec 1 - Nov 30","> 100,000","> $20M","> 100",413876,1,145000,1,1,187,33423683,33423683
"US Bowling Congress",2019,"Jan 1 - Dec 31","> 100,000","> $20M","> 100",414681,1,1418000,1,1,119,36668317,36668317
"USA Racquetball",2018,"Jan 1 - Dec 31","10,000-30,000","< $2M","< 10",59054,3,12500,4,4,7,1383915,1383915
"USA Badminton",2019,"Jan 1 - Dec 31","< 10,000","< $2M","< 10",0,4,4000,4,4,0,1008403,1008403
"American Canoe Association",2019,"Jan 1 - Dec 31","30,000-100,000","< $2M","10-30",131275,2,39000,4,3,23,1771380,1771380
"USA Taekwondo",2019,"Jan 1 - Dec 31","10,000-30,000","$2M-$10M","10-30",157190,3,16869,3,3,15,4121669,4121669
"USA Climbing",2018,"Sept 1 - Aug 31","10,000-30,000","$2M-$10M","10-30",0,3,9760,3,3,10,3380770,3380770
"US Bowling Congress",2018,"Jan 1 - Dec 31","> 100,000","> $20M","> 100",402730,1,1418000,1,1,119,33896135,33896135
